PATH, FILENAME, LINE, STATE, CUrRENT HINT, EXPECTED HINT, TOTAL #, TAKEN % , TAKEN, NOT TAKEN, NUM_BRANCHES, BRANCH TYPE, LINE OF CODE
/home/GabrielCSMO/devel/python/Objects, listobject.c, 841, MISSING, NONE, EXPECTED, 6407, 100, 6407, 0, 2, UNKNOWN, if (mn >= m) {
/home/GabrielCSMO/devel/python/Objects, fileobject.c, 262, MISSING, NONE, UNEXPECTED, 3228, 0, 0, 3228, 2, UNKNOWN, if (fobj) {
/home/GabrielCSMO/devel/python/Objects, listobject.c, 843, MISSING, NONE, UNEXPECTED, 6407, 0, 0, 6407, 2, UNKNOWN, if (list_resize(self
/home/GabrielCSMO/devel/python/Objects, memoryobject.c, 2057, MISSING, NONE, UNEXPECTED, 4, 0, 0, 4, 2, UNKNOWN, if (lst == NULL)
/home/GabrielCSMO/devel/python/Objects, listobject.c, 599, MISSING, NONE, UNEXPECTED, 847916, 0, 7910, 840006, 2, UNKNOWN, if (v == NULL)
/home/GabrielCSMO/devel/python/Python, Python-ast.c, 2237, MISSING, NONE, UNEXPECTED, 872, 0, 0, 872, 2, UNKNOWN, if (!ctx) {
/home/GabrielCSMO/devel/python/Objects, weakrefobject.c, 224, OVERFLOW, NONE, NONE, 15977, 5, 939, 15038, 4, UNKNOWN, if (head != NULL && head->wr_callback == NULL) {
/home/GabrielCSMO/devel/python/Python, fileutils.c, 476, MISSING, NONE, EXPECTED, 16132, 98, 15810, 322, 2, UNKNOWN, for (i=0; i < len; i++) {
/home/GabrielCSMO/devel/python/Python, fileutils.c, 478, MISSING, NONE, UNEXPECTED, 15810, 0, 0, 15810, 2, UNKNOWN, if (c >= 0xdc80 && c <= 0xdcff) {
/home/GabrielCSMO/devel/python/Objects, setobject.c, 1059, MISSING, NONE, UNEXPECTED, 31772, 34, 11101, 20671, 2, UNKNOWN, if (iterable != NULL) {
/home/GabrielCSMO/devel/python/Programs, _freeze_importlib.c, 46, MISSING, NONE, UNEXPECTED, 2, 0, 0, 2, 2, UNKNOWN, if (argc != 3) {
/home/GabrielCSMO/devel/python/Objects, methodobject.c, 85, MISSING, NONE, EXPECTED, 7263290, 100, 7263289, 1, 2, UNKNOWN, PyObject *self = PyCFunction_GET_SELF(func);
/home/GabrielCSMO/devel/python/Python, compile.c, 3841, MISSING, NONE, UNEXPECTED, 100, 0, 0, 100, 2, UNKNOWN, ADDOP(c
/home/GabrielCSMO/devel/python/Python, compile.c, 3844, MISSING, NONE, UNEXPECTED, 20, 0, 0, 20, 2, UNKNOWN, if (c->u->u_ste->ste_type != FunctionBlock)
/home/GabrielCSMO/devel/python/Objects, exceptions.c, 1004, OVERFLOW, NONE, NONE, 725, 50, 725, 0, 4, UNKNOWN, Py_CLEAR(self->myerrno);
/home/GabrielCSMO/devel/python/Python, compile.c, 3847, MISSING, NONE, UNEXPECTED, 20, 0, 0, 20, 2, UNKNOWN, if (c->u->u_scope_type == COMPILER_SCOPE_ASYNC_FUNCTION)
